"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\dashboard-2.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\datatables.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\flot.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-advanced.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-fileuploads.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-masks.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-pickers.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-quilljs.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-summernote.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-validation.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\form-wizard.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\google-maps.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\inbox.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\lightbox.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\mapeal-maps.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\js\pages\morris.init.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
